2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
47570481.666666664,49591832.14958689,48390969.41070625,53126539.74760004,46541377.21021611,48184855.895196505,46192667.73464003,46760038.50286533,47976803.69587346,45633136.59642348,47746492.50159541,47786594.024883114,47458161.257699735,47336698.711392924,50047794.621026896
46879316.86666667,47706882.33077258,45614968.511021145,46753051.45076044,47620940.07858546,48480634.93449782,48319759.70599321,46774059.81375358,47247018.244460106,46748652.50608681,46637942.72495214,48860993.73959902,46188099.77015721,48885197.38187768,46107185.264873676
48761313.333333336,44845924.04696333,49636740.890688255,50294384.64027613,48672585.461689584,49414730.13100436,47822859.96984546,47157314.648997135,47273164.98316498,47640453.597514905,47112957.88130185,49839715.50836041,47804604.57846833,51094806.708938435,46339548.492257535
46649418.333333336,47859747.78953472,47908897.88573999,47493087.04562615,47168060.90373281,47771565.938864626,46676679.34413871,47241687.85816619,48262688.12152533,45026974.22550584,45474530.95086152,48109026.0717965,48013145.64677761,48625823.27674371,46245851.67074165
49107725.0,49508182.34526743,46891167.3414305,50251996.97982958,46565849.70530452,47501500.57641921,46250979.080286466,46617525.071633235,47897386.26575836,46616653.513558894,46117651.563497126,46453878.373880655,46834415.73963409,46172842.09449785,50678081.499592505
46491316.666666664,45837430.06232788,46677356.05038237,49133881.99762701,48128363.57563851,47605953.71179039,46322934.41387109,46862133.775071636,46721104.8469188,44975803.87876753,47186701.49968092,47525426.737459384,48540329.13487175,47302268.35753733,45792474.32762836
49063001.666666664,45901275.54718075,46906872.46963563,48873551.93614497,46969484.282907665,47810565.938864626,45711094.98680739,46051596.525787964,48104734.16333882,48046136.34455545,49197934.747925974,45752027.197083764,46786639.84554565,45422769.48251176,46336817.27791361
49304108.333333336,45593330.91752428,46401680.16194332,44735996.11692374,47272573.67387033,48455681.22270742,47515105.5408971,46827600.28653295,47073619.92013155,47922481.84031568,47167711.39119336,48698369.12592123,47949712.23683001,46396311.22929025,46914939.07090464
45440036.666666664,47381982.896071896,47755265.40710751,48753976.9172689,45016398.82121807,49575776.41921397,46025216.73577083,52093317.51432665,48616236.003445305,47202354.126437746,46624629.86598596,47340322.52951898,47478821.36618553,49953876.04827163,47869975.550122246
45710830.0,48631626.322655454,45328475.03373819,47302327.81792687,46480891.11984283,47028669.10043668,46268141.72634753,46457973.6747851,47430347.06757498,47677969.94374947,47405316.687938735,47927750.21792535,47226372.16144157,46404403.763550825,46403701.71149144
46158667.333333336,47441740.83200464,51279881.91632929,46780792.79473627,47579250.64833006,45672478.60262009,45729850.32039201,47759887.17765043,46995292.459478505,47412256.23373352,50288073.548181236,47772593.707900785,47416731.63556127,45811027.8175496,46892487.367563166
46804900.0,45930936.3675895,49868075.798470534,46948013.15931399,46478058.939096265,47151719.650655024,46759155.67282322,47905043.98280802,47925806.906272024,47136865.92225674,46378428.62156988,46803749.1084872,48481047.27406454,47697498.465943955,46449734.31132844
46143671.666666664,47184033.917959124,47896622.80701754,46227635.638011,53422109.037328094,47471871.615720525,52200209.19713532,50040561.425501436,46347435.596272804,47654473.176055744,48847862.156987876,46469209.92154688,46797216.144157395,48440131.9288198,49828757.94621027
47737300.0,50250188.43310624,55203436.79712101,47362215.51073239,50012508.84086444,50065021.83406114,47347549.0011308,45555920.48710602,46968826.34092867,46694284.40936949,48871778.0791321,45977470.48102068,48256324.4644663,46426272.24381264,46960171.149144255
48976875.0,47078965.067401074,45393963.11291048,47899315.06849315,48834312.495088406,55644129.25764192,49053492.38597814,47188638.0730659,46853984.120272495,49388365.376542695,47203458.83854499,48397741.500911325,46864688.79286568,47098985.47760278,48915294.40912795
45558850.666666664,46533646.9053486,48632082.95096716,46812802.286700465,46186561.88605108,45794793.362445414,46622582.92499058,47399314.11174785,46525517.187377654,47087019.66249685,46380856.732610084,47131832.95031302,47412364.62259814,47074884.43444467,50923903.83048085
45851815.0,47438994.28902739,50126166.216824114,48261819.78211628,48057747.544204324,45794914.41048035,47572539.69091594,48032107.808022924,50288829.37906194,47206258.08076568,46980968.73005743,47096669.30818607,46580262.940148935,48788619.34956024,50250797.06601467
47758600.0,48542598.92738078,45518947.368421055,47694221.766799696,47824187.622789785,50000579.91266376,45748034.300791554,48474070.55873925,46991001.58170856,47289936.19343464,49270507.33886407,50714730.96124891,46853679.32334283,44717811.41337697,51635057.86471067
49335235.0,45302294.76735759,48874599.64012595,48731274.9433718,46960010.805500984,48851200.873362444,45615281.75650207,47693952.36389685,46528846.60559079,50162574.930736296,46678982.92916401,54471502.591330536,49780719.86761055,48303705.25669871,47936740.01629992
45910798.333333336,49307738.80272503,49208922.62708052,49282138.9278395,46982323.1827112,48043895.19650655,47596494.53448926,45687015.58022922,45752862.82984888,48438264.629334226,49170053.446075305,53244328.393692054,48407863.38144709,49320993.0456126,44200130.399348006
48672685.0,47215976.22843891,46918663.967611335,49006198.89979506,47592130.64833006,48586247.30131004,46446772.521673575,48172645.952722065,47345494.47968052,47118712.95441189,50810824.02680281,47487074.25311039,47124648.340535074,46945369.19615463,46414381.41809291
49027566.86666667,52481552.39889839,49491287.67431399,46873623.12587639,47916104.125736736,47992595.1091703,48394824.72672446,47121100.5730659,47576191.371075094,48956821.425573,50018043.23548181,47668759.80664078,49480785.14296222,51844901.82041317,46249657.70171149
49950241.666666664,49475190.6073344,47356500.22492128,47197456.58505016,47571109.037328094,49155965.938864626,50187220.1281568,48440187.14183381,47596392.73353692,52142448.15716565,48888434.2054882,46103267.29534829,47688551.07106739,46901526.897115976,47918092.90953545
50204665.0,46976398.49253515,46961418.12865497,46978217.19339877,48391947.93713163,48748455.02183406,50044180.173388615,52484469.91404011,48193742.85490564,44471522.96196793,46268342.69304404,47051150.64585149,47962119.15050106,50285239.43546738,47170044.00977995
47219301.666666664,48200826.20669662,46256402.38416554,47033756.876280874,46584652.377210215,47616999.126637556,48256822.46513381,46717642.72922636,46750897.34554851,47246425.992779784,47666475.74984046,47708235.20088755,46875951.089454815,45871398.03640826,53046656.88671557
47188016.666666664,47310088.41861139,51549573.774179034,48411653.97476,48836651.27701375,49455442.93449782,45502720.50508858,48088803.724928364,47035239.9968679,47311625.38829653,48180483.40778558,47866783.42182423,46822793.96892525,45630759.86909389,47122381.41809291
50043121.666666664,45177992.46267575,55650587.044534415,46850111.09912631,47892989.194499016,48411358.951965064,46136472.860912174,47401838.28796562,46290177.74645682,48079519.90596927,48069602.83982132,45639209.92154688,50024152.799485154,47913256.28962978,46499315.40342298
49158578.333333336,48597637.338744745,47094037.33693207,49030071.18973142,48941048.25147348,47558081.327510916,48276752.73275537,47660809.56303725,48839289.89115966,47810318.19326673,46603606.41352904,47515164.52967747,46057069.04477338,47310896.91143383,50352345.558272205
48592470.266666666,48572749.67386578,48223096.04138552,45328689.46176249,47118205.42239685,47328035.80786026,47130212.966453075,46445826.46848138,48672345.94002036,46544175.97179078,47169988.83216337,47595013.86797686,47091765.19260826,52919952.95561465,46229833.74083129
49069078.333333336,45476398.028699815,46983196.13135403,48207504.04487111,46703868.36935167,45647502.183406115,47172189.973614775,48980548.88968481,47242847.07540522,47659111.745445386,47352661.933631144,47222807.67097234,48345310.28776317,46649000.81816322,47055052.974735126
